trial_index,S,B,latency_s,peak_memory_bytes,energy_j,status,energy_method,energy_j_from_counter,energy_j_from_power,is_validation,repeats,latency_repeats,latency_window_s,warmup_repeats,warmup_window_s,oom_retries,latency_mad_s,power_samples,distinct_power_readings,power_window_s,free_memory_bytes_before,gpu_temp_c_before,gpu_temp_c_after,sm_clock_mhz_before,sm_clock_mhz_after,power_w_before,power_w_after,measurement_warning,trial_count,latency_trial_mad_s,energy_trial_mad_j,peak_memory_range_bytes
0,256,8,0.0027918770000496806,49381376,0.19667012252591895,ok,nvml_counter,0.19667012252591895,0.19426614529578878,0,1061,179,0.5004485489999979,118,0.5009790039999871,0,6.397999868568149e-06,127,25,3.002651462000017,15473639424,42,48,585,1200,26.093,69.244,,1,,,
1,256,8,0.0028287129999853278,49381376,0.19086037735849057,ok,nvml_counter,0.19086037735849057,0.19560183329506503,0,1060,177,0.5006501290000642,180,0.500879775000044,0,3.5200000070290116e-05,126,23,3.0026081780000595,15471542272,47,50,1560,1200,32.397,69.594,,1,,,
2,256,8,0.002892483499977061,49381376,0.19961148325358852,ok,nvml_counter,0.19961148325358852,0.19622843859334657,0,1045,174,0.5012104610000279,178,0.5028454780000402,0,1.6397000024426234e-05,125,22,3.00191568799994,15471542272,49,52,1575,1140,35.621,68.754,,1,,,
0,224,229,0.08865557300003957,1194426368,6.1037058823529415,ok,nvml_counter,6.1037058823529415,5.997116494768092,1,34,20,1.773354089999998,20,1.7914822819999472,0,0.0006976045000328668,121,29,3.0185355369999343,15471542272,51,55,1575,1020,31.686,62.551,,1,,,
1,224,229,0.08952780399994253,1194426368,6.098205882352941,ok,nvml_counter,6.098205882352941,6.056018027662942,1,34,20,1.7844371479999381,20,1.7842317309999771,0,0.0007492645000297671,121,24,3.036905651999973,15471542272,54,57,1575,915,31.21,62.944,,1,,,
2,224,229,0.08952103300003955,1194426368,6.037764705882353,ok,nvml_counter,6.037764705882353,6.076544603531619,1,34,20,1.7956334509999579,20,1.7946536719999813,0,0.000698999000007916,123,27,3.068150629999991,15471542272,56,59,1560,1005,31.407,63.986,,1,,,
0,384,256,0.2789770210000597,3384287232,18.871100000000002,ok,nvml_counter,18.871100000000002,18.99998071947741,0,20,20,5.576304154000013,20,5.570041009999954,0,0.0010362289999648056,222,52,5.617424820999986,15471542272,59,65,1575,840,32.477,68.754,,1,,,
1,384,256,0.2839737179999702,3384287232,19.105150000000002,ok,nvml_counter,19.105150000000002,19.335110448453698,0,20,20,5.680934259999958,20,5.646055061999959,0,0.00025485800011892934,223,49,5.714615835000018,15471542272,64,70,1560,810,32.774,65.222,,1,,,
2,384,256,0.28989399699997875,3384287232,19.706899999999997,ok,nvml_counter,19.706899999999997,19.40223178552859,0,20,20,5.798467849000076,20,5.757721065999931,0,0.0006008109999697808,229,45,5.836418741999978,15471542272,69,74,1560,720,33.367,72.001,,1,,,
0,256,32,0.010970322999980908,223518720,0.737919708029197,ok,nvml_counter,0.737919708029197,0.7350639210046946,0,274,46,0.5047836329999882,46,0.5037919349999811,0,2.9277999999521853e-05,124,18,3.004876600999978,15471542272,74,75,1440,885,36.708,66.931,,1,,,
1,256,32,0.010988450000013472,223518720,0.7423736263736264,ok,nvml_counter,0.7423736263736264,0.7387825148473094,0,273,46,0.5058377719999498,47,0.5059708269999419,0,2.9753999967851996e-05,121,16,3.006802984999922,15471542272,75,77,1560,885,36.115,66.89,,1,,,
2,256,32,0.01103671799995709,223518720,0.7453823529411765,ok,nvml_counter,0.7453823529411765,0.7389857384669277,0,272,46,0.5079203179999467,47,0.5072914669999591,0,4.1084499969201715e-05,122,19,3.004194781000024,15471542272,76,78,1560,855,36.708,68.305,,1,,,
0,272,4,0.0018343289999620538,33853440,0.12244593769089798,ok,nvml_counter,0.12244593769089798,0.12188135978073313,1,1637,273,0.5010974570000144,276,0.5012782659999857,0,7.671000048503629e-06,126,19,3.000721584999951,15471542272,77,79,1560,1005,36.51,66.497,,1,,,
1,272,4,0.0018344974999990882,33853440,0.12297607361963189,ok,nvml_counter,0.12297607361963189,0.12253055139848175,1,1630,272,0.5000225920000503,277,0.5012501599999268,0,4.478999983348331e-06,126,19,3.0003107060000502,15471542272,78,80,1560,1080,38.761,66.007,,1,,,
2,272,4,0.0018350385000189817,33853440,0.1235218730745533,ok,nvml_counter,0.1235218730745533,0.12297260998525235,1,1623,272,0.5004872910000131,277,0.5016276909999533,0,5.877000035070523e-06,126,19,3.0011812559999953,15471542272,79,81,1545,1005,40.044,66.653,,1,,,
0,368,33,0.026474484499999562,553811968,1.7887876106194691,ok,nvml_counter,1.7887876106194691,1.7653639594015813,1,113,20,0.5294265590000578,20,0.5208090810000385,0,0.0001730230000021038,123,21,3.007059543999958,15471542272,80,81,1455,795,41.304,65.811,,1,,,
1,368,33,0.02665545350004095,553811968,1.7899115044247786,ok,nvml_counter,1.7899115044247786,1.779819617081188,1,113,20,0.5318904900000234,20,0.5286889390000624,0,0.0001465435000227444,124,18,3.010973836000062,15471542272,80,80,1560,780,37.696,66.007,,1,,,
2,368,33,0.026484300499987512,553811968,1.7647391304347826,ok,nvml_counter,1.7647391304347826,1.758485769047389,1,115,20,0.5293951549999747,20,0.5190089809999563,0,9.878899993509549e-05,123,17,3.01361823000002,15471542272,80,79,1545,795,35.72,68.165,,1,,,
0,112,64,0.00501952600001232,68780032,0.3340666666666667,ok,nvml_counter,0.3340666666666667,0.332618731953279,1,600,100,0.5006306209999138,101,0.5010543360000383,0,1.566050002566044e-05,125,23,3.0002531220000037,15471542272,78,78,1560,915,38.069,69.398,,1,,,
1,112,64,0.005007293999938156,68780032,0.33301160862354895,ok,nvml_counter,0.33301160862354895,0.33025589884039896,1,603,101,0.5033431809999911,103,0.503091196000014,0,3.002200003265898e-05,124,24,3.002044934999958,15471542272,77,77,1560,945,37.971,66.694,,1,,,
2,112,64,0.005000085999995463,68780032,0.33134925864909387,ok,nvml_counter,0.33134925864909387,0.3286449019106525,1,607,101,0.5011690520000229,104,0.5040535269999964,0,3.545599997778481e-05,125,24,3.001991910000015,15471542272,77,77,1560,960,38.168,66.497,,1,,,
0,64,16,0.0005846640000299885,19497472,0.040452837650781094,ok,nvml_counter,0.040452837650781094,0.04034525799104586,0,5057,845,0.5002975139999535,776,0.5002005280000503,0,6.96400002198061e-06,129,23,3.0003622809999797,15471542272,76,76,1545,1380,38.958,68.558,,1,,,
1,64,16,0.0005864580000434216,19497472,0.04041297062881924,ok,nvml_counter,0.04041297062881924,0.040321174585024266,0,5073,845,0.5001715770000601,844,0.5003910980000228,0,8.21500009351439e-06,130,20,3.000215715999957,15471542272,76,76,1575,1335,40.712,69.189,,1,,,
2,64,16,0.000582580000013877,19497472,0.040226860968885385,ok,nvml_counter,0.040226860968885385,0.04007385020232454,0,5078,845,0.5005594079999582,851,0.5001566409999896,0,7.760000016787671e-06,129,20,3.000226257999998,15471542272,76,76,1575,1350,39.748,69.006,,1,,,
0,256,252,0.12812947899999472,1674674176,8.473791666666667,ok,nvml_counter,8.473791666666667,8.59284302525405,1,24,20,2.563141244999997,20,2.567927270999917,0,0.00043787700002440033,122,25,3.072169930999962,15471542272,75,75,1575,810,40.341,69.496,,1,,,
1,256,252,0.12794967799999313,1674674176,8.462458333333332,ok,nvml_counter,8.462458333333332,8.551433212341083,1,24,20,2.560465868000051,20,2.5567772850000665,0,0.0004541644999562777,122,27,3.0703690340000094,15471542272,74,75,1575,810,35.246,62.256,,1,,,
2,256,252,0.12791541249998772,1674674176,8.730333333333332,ok,nvml_counter,8.730333333333332,8.526445122936462,1,24,20,2.565708848999975,20,2.561072205999949,0,0.0005004209999697196,122,25,3.084505077000017,15471542272,74,75,1200,930,42.094,70.084,,1,,,
0,224,64,0.01705936150000298,335904768,1.1253028571428572,ok,nvml_counter,1.1253028571428572,1.1546086360637786,0,175,30,0.5131421309999951,30,0.5128075469999658,0,5.9558500083767285e-05,124,17,3.001296999000033,15471542272,75,76,1560,885,36.313,40.834,,1,,,
1,224,64,0.017109341999969274,335904768,1.1652,ok,nvml_counter,1.1652,1.159366810101188,0,175,30,0.5141876699999557,30,0.5092020660000571,0,6.547749995888807e-05,124,19,3.0137346300000445,15471542272,75,77,1560,855,41.131,67.339,,1,,,
2,224,64,0.017273839000040425,335904768,1.1772658959537572,ok,nvml_counter,1.1772658959537572,1.1595981098946315,0,173,29,0.5016366620000099,30,0.5118390780000937,0,0.0001229839999723481,124,16,3.00113792500008,15471542272,76,77,1560,855,37.4,67.969,,1,,,
0,512,128,0.26355612550003116,3092348928,17.57565,ok,nvml_counter,17.57565,17.46408087462472,0,20,20,5.272999319000064,20,5.2364882399999715,0,0.00022323899997900298,205,37,5.255686632999982,15471542272,77,78,1215,690,42.587,70.28,,1,,,
1,512,128,0.26357426650002935,3092348928,17.58625,ok,nvml_counter,17.58625,17.470153661137793,0,20,20,5.272402542000009,20,5.258655911000005,0,0.00021411599999510145,206,37,5.256716100000062,15471542272,78,77,1545,750,38.958,66.833,,1,,,
2,512,128,0.26134542900001634,3092348928,17.231299999999997,ok,nvml_counter,17.231299999999997,17.392690594020497,0,20,20,5.2215326489999825,20,5.246294086000034,0,0.0011449089999473472,203,32,5.214494155000011,15471542272,77,76,1560,810,34.455,65.164,,1,,,
0,128,229,0.03101112199999534,399384576,2.0659897959183673,ok,nvml_counter,2.0659897959183673,2.058248146015874,1,98,20,0.6201169280000158,20,0.6161036910000348,0,0.0001225219999696492,124,24,3.01483655800007,15471542272,76,76,1560,885,42.784,66.301,,1,,,
1,128,229,0.030721460499989917,399384576,2.001561224489796,ok,nvml_counter,2.001561224489796,2.053792866944141,1,98,20,0.6163518420000855,20,0.6124657110000271,0,0.00028593100000762206,122,25,3.011245113999962,15471542272,76,76,1560,900,35.74,56.43,,1,,,
2,128,229,0.030717000499976166,399384576,2.064173469387755,ok,nvml_counter,2.064173469387755,2.0550395044101704,1,98,20,0.6159005199999683,20,0.6091783340000347,0,0.00028882299994847926,122,22,3.0135291930000676,15471542272,75,76,1455,900,40.341,68.558,,1,,,
0,256,229,0.12150463299997227,1553563648,8.09024,ok,nvml_counter,8.09024,8.04652215919299,1,25,20,2.42930335199992,20,2.4171354779999774,0,0.0001837884999531525,121,26,3.022356725999998,15471542272,76,76,1560,795,37.202,69.343,,1,,,
1,256,229,0.12158141850005677,1553563648,8.08932,ok,nvml_counter,8.08932,8.049114783264155,1,25,20,2.4305552639999632,20,2.4254813280000462,0,0.00014352799996686372,121,24,3.0445404350000445,15471542272,76,77,1545,780,36.708,64.28,,1,,,
2,256,229,0.12158867900001269,1553563648,8.09808,ok,nvml_counter,8.09808,8.067713008806857,1,25,20,2.4330239369999163,20,2.423749675999943,0,0.00040232600002809704,122,23,3.0394302799999195,15471542272,76,77,1545,780,35.048,63.887,,1,,,
0,272,2,0.0009787630000346326,23822336,0.06400229508196721,ok,nvml_counter,0.06400229508196721,0.06579416972416725,1,3050,509,0.5000189059999229,505,0.5003641949999746,0,8.643000114716415e-06,127,21,3.000267266000037,15471542272,76,77,1305,1080,37.993,66.203,,1,,,
