S,B,latency_s,peak_memory_bytes,energy_j,status,energy_method,energy_j_from_counter,energy_j_from_power,is_validation,repeats,latency_repeats,latency_window_s,warmup_repeats,warmup_window_s,oom_retries,latency_mad_s,power_samples,distinct_power_readings,power_window_s,free_memory_bytes_before,gpu_temp_c_before,gpu_temp_c_after,sm_clock_mhz_before,sm_clock_mhz_after,power_w_before,power_w_after,measurement_warning,trial_count,latency_trial_mad_s,energy_trial_mad_j,peak_memory_range_bytes
256,8,0.0028287129999853278,49381376,0.19667012252591895,ok,nvml_counter,0.19667012252591895,0.19560183329506503,0,3166,530,0.5006501290000642,476,0.5009790039999871,0,1.6397000024426234e-05,378,22,3.0026081780000595,15471542272,47.0,50.0,1560.0,1200.0,32.397,69.244,,3,3.6835999935647123e-05,0.0029413607276695675,0
224,229,0.08952103300003955,1194426368,6.098205882352941,ok,nvml_counter,6.098205882352941,6.056018027662942,1,102,60,1.7844371479999381,60,1.7914822819999472,0,0.000698999000007916,365,24,3.036905651999973,15471542272,54.0,57.0,1575.0,1005.0,31.407,62.944,,3,6.7709999029830215e-06,0.0055000000000005045,0
384,256,0.2839737179999702,3384287232,19.105150000000002,ok,nvml_counter,19.105150000000002,19.335110448453698,0,60,60,5.680934259999958,60,5.646055061999959,0,0.0006008109999697808,674,45,5.714615835000018,15471542272,64.0,70.0,1560.0,810.0,32.774,68.754,,3,0.004996696999910455,0.23404999999999987,0
256,32,0.010988450000013472,223518720,0.7423736263736264,ok,nvml_counter,0.7423736263736264,0.7387825148473094,0,819,138,0.5058377719999498,140,0.5059708269999419,0,2.9753999967851996e-05,367,16,3.004876600999978,15471542272,75.0,77.0,1560.0,885.0,36.708,66.931,,3,1.8127000032563956e-05,0.003008726567550135,0
272,4,0.0018344974999990882,33853440,0.12297607361963189,ok,nvml_counter,0.12297607361963189,0.12253055139848175,1,4890,817,0.5004872910000131,830,0.5012782659999857,0,5.877000035070523e-06,378,19,3.000721584999951,15471542272,78.0,80.0,1560.0,1005.0,38.761,66.497,,3,1.6850003703439143e-07,0.0005301359287339102,0
368,33,0.026484300499987512,553811968,1.7887876106194691,ok,nvml_counter,1.7887876106194691,1.7653639594015813,1,341,60,0.5294265590000578,60,0.5208090810000385,0,0.0001465435000227444,370,17,3.010973836000062,15471542272,80.0,80.0,1545.0,795.0,37.696,66.007,,3,9.815999987949908e-06,0.0011238938053095282,0
112,64,0.005007293999938156,68780032,0.33301160862354895,ok,nvml_counter,0.33301160862354895,0.33025589884039896,1,1810,302,0.5011690520000229,308,0.503091196000014,0,3.002200003265898e-05,374,23,3.001991910000015,15471542272,77.0,77.0,1560.0,945.0,38.069,66.694,,3,7.207999942693277e-06,0.0010550580431177292,0
64,16,0.0005846640000299885,19497472,0.04041297062881924,ok,nvml_counter,0.04041297062881924,0.040321174585024266,0,15208,2535,0.5002975139999535,2471,0.5002005280000503,0,7.760000016787671e-06,388,20,3.000226257999998,15471542272,76.0,76.0,1575.0,1350.0,39.748,69.006,,3,1.7940000134331058e-06,3.986702196185493e-05,0
256,252,0.12794967799999313,1674674176,8.473791666666667,ok,nvml_counter,8.473791666666667,8.551433212341083,1,72,60,2.563141244999997,60,2.561072205999949,0,0.0004541644999562777,366,25,3.072169930999962,15471542272,74.0,75.0,1575.0,810.0,40.341,69.496,,3,3.426550000540374e-05,0.01133333333333475,0
224,64,0.017109341999969274,335904768,1.1652,ok,nvml_counter,1.1652,1.159366810101188,0,523,89,0.5131421309999951,90,0.5118390780000937,0,6.547749995888807e-05,372,16,3.001296999000033,15471542272,75.0,77.0,1560.0,855.0,37.4,67.339,,3,4.998049996629561e-05,0.012065895953757177,0
