complexity,loss,equation,score,sympy_format,lambda_format
1,31097802.0,2147.9988,0.0,2147.99880000000,PySRFunction(X=>2147.99880000000)
3,20001286.0,batch_size * 40.22852,0.22067028497979185,batch_size*40.22852,PySRFunction(X=>batch_size*40.22852)
5,3147151.0,(batch_size * image_size) * 0.20721531,0.9246494861751996,batch_size*image_size*0.20721531,PySRFunction(X=>batch_size*image_size*0.20721531)
7,275182.47,image_size * (image_size * (batch_size * 0.0005117471)),1.2184092366080832,image_size*image_size*batch_size*0.0005117471,PySRFunction(X=>image_size*image_size*batch_size*0.0005117471)
11,215887.03,((((image_size + image_size) * batch_size) * 0.0002627992) - 1.0448548) * image_size,0.06066978582363731,image_size*((image_size + image_size)*batch_size*0.0002627992 - 1*1.0448548),PySRFunction(X=>image_size*((image_size + image_size)*batch_size*0.0002627992 - 1*1.0448548))
13,180377.11,(batch_size * ((image_size * (image_size + (batch_size * 0.15323526))) * 0.00048781637)) - image_size,0.08985277336527163,batch_size*image_size*(batch_size*0.15323526 + image_size)*0.00048781637 - image_size,PySRFunction(X=>batch_size*image_size*(batch_size*0.15323526 + image_size)*0.00048781637 - image_size)
15,180373.89,(batch_size * ((image_size + image_size) * ((image_size + (batch_size * 0.15473117)) * 0.00024373447))) - image_size,8.925824183584689e-06,batch_size*(image_size + image_size)*(batch_size*0.15473117 + image_size)*0.00024373447 - image_size,PySRFunction(X=>batch_size*(image_size + image_size)*(batch_size*0.15473117 + image_size)*0.00024373447 - image_size)
17,178593.89,((batch_size * (((image_size + image_size) * (image_size + (batch_size * 0.15139952))) * 0.00024374823)) - image_size) + 24.27095,0.004958702949028309,batch_size*(image_size + image_size)*(batch_size*0.15139952 + image_size)*0.00024374823 - image_size + 24.27095,PySRFunction(X=>batch_size*(image_size + image_size)*(batch_size*0.15139952 + image_size)*0.00024374823 - image_size + 24.27095)
